// input: .\VOICE_TEST\VO_02_001000_0150_jp.wav,,,,,,,,,,
// framerate: 60 [fps],,,,,,,,,,
// frame count, msec, width(0-1 def=0.583), height(0-1 def=0.000), tongue(0-1 def=0.000), A(0-1), I(0-1), U(0-1), E(0-1), O(0-1), Vol(dB)
78,1300,0.66167,0.3,0.377298,0.211326,0,0,0.197056,0,-39.443661
79,1316,0.66167,0.3,0.736908,0.221868,0,0,0.030009,0,-20.503696
80,1333,0.66167,0.3,0.888844,0.04,0,0.099621,0,0,-16.960924
81,1350,0.66167,0.3,0.927748,0.04,0,0.193639,0,0,-18.175356
82,1366,0.65748,0.299596,0.927748,0.040004,0,0.356729,0,0,-20.341175
83,1383,0.640191,0.293094,0.927748,0.040011,0,0.553618,0,0,-18.100143
84,1400,0.6341,0.146547,0.927748,0.060022,0,0.553618,0,0,-17.618031
85,1416,0.634951,0.036637,0.927748,0.010019,0,0.63688,0,0,-16.377453
86,1433,0.641249,0.041387,0.927748,0,0.097899,0.539473,0,0,-15.789478
87,1450,0.641666,0.062076,0.927748,0,0.147891,0.445467,0,0,-16.076487
88,1466,0.657481,0.121543,0.412333,0,0.453676,0.161913,0,0,-17.319571
89,1483,0.642338,0.188929,0.183259,0,0.455124,0.150331,0,0,-18.274651
90,1500,0.623229,0.209966,0.122173,0,0.455128,0.157698,0,0,-17.834509
91,1516,0.594279,0.255046,0.054299,0,0.455239,0.141175,0,0,-15.592916
92,1533,0.587237,0.303391,0.024133,0,0.129721,0.286034,0,0,-15.108809
93,1550,0.590437,0.320006,0.016089,0,0.079733,0.300959,0,0,-16.596657
94,1566,0.605189,0.351613,0.00715,0.056614,0,0.334052,0,0,-22.247112
95,1583,0.605189,0.3,0.580521,0.153227,0,0.160326,0,0,-21.31074
96,1600,0.605189,0.3,0.727339,0.173228,0,0.145591,0,0,-20.751301
97,1616,0.605189,0.3,0.884801,0.213227,0,0.095377,0,0,-18.544008
98,1633,0.605189,0.3,0.951328,0.253228,0,0.089478,0,0,-15.004755
